INN|NameOrg|Surname|Name|Patronymic|Okved|Okveds|Address|Employee Count|Founders|Managers|Income|Expense|Phones|Emails
5401285458|"ООО ""ПЕРСПЕКТИВА"""||||68.31.1|Предоставление посреднических услуг при купле-продаже недвижимого имущества за вознаграждение или на договорной основе,Копирование записанных носителей информации,Торговля розничная автомобильными деталями, узлами и принадлежностями,Торговля розничная в неспециализированных магазинах,Торговля розничная пищевыми продуктами, напитками и табачными изделиями в специализированных магазинах,Торговля розничная напитками в специализированных магазинах,Торговля розничная мужской, женской и детской одеждой в специализированных магазинах,Торговля розничная спортивной одеждой в специализированных магазинах,Торговля розничная лекарственными средствами в специализированных магазинах (аптеках),Торговля розничная изделиями, применяемыми в медицинских целях, ортопедическими изделиями в специализированных магазинах,Торговля розничная косметическими и товарами личной гигиены в специализированных магазинах,Деятельность ресторанов и услуги по доставке продуктов питания,Деятельность ресторанов и кафе с полным ресторанным обслуживанием, кафетериев, ресторанов быстрого питания и самообслуживания,Деятельность ресторанов и баров по обеспечению питанием в железнодорожных вагонах-ресторанах и на судах,Подача напитков,Подготовка к продаже собственного нежилого недвижимого имущества,Аренда и управление собственным или арендованным нежилым недвижимым имуществом,Предоставление посреднических услуг по аренде недвижимого имущества за вознаграждение или на договорной основе,Предоставление консультационных услуг при купле-продаже недвижимого имущества за вознаграждение или на договорной основе,Предоставление консультационных услуг по аренде недвижимого имущества за вознаграждение или на договорной основе,Предоставление посреднических услуг при купле-продаже нежилого недвижимого имущества за вознаграждение или на договорной основе,Предоставление посреднических услуг по аренде нежилого недвижимого имущества за вознаграждение или на договорной основе,Предоставление консультационных услуг при купле-продаже нежилого недвижимого имущества за вознаграждение или на договорной основе,Предоставление консультационных услуг по аренде нежилого недвижимого имущества за вознаграждение или на договорной основе,Деятельность в области фотографии,Деятельность в области спорта прочая,Предоставление услуг парикмахерскими и салонами красоты|г Новосибирск, ул Техническая, д 18|0|Моссаренко Семен Викторович|ФИО: Моссаренко Семен Викторович, Должность: ДИРЕКТОР|3114000.0|3059000.0|(383) 3548112, (923)2301544,(923)2301544|""
5401285850|"ООО ""РОБОТ"""||||68.2|Аренда и управление собственным или арендованным недвижимым имуществом,Торговля автотранспортными средствами,Техническое обслуживание и ремонт автотранспортных средств,Торговля автомобильными деталями, узлами и принадлежностями,Торговля мотоциклами, их деталями, узлами и принадлежностями; техническое обслуживание и ремонт мотоциклов,Торговля оптовая легковыми автомобилями и легкими автотранспортными средствами,Торговля розничная легковыми автомобилями и легкими автотранспортными средствами в специализированных магазинах,Торговля розничная легковыми автомобилями и легкими автотранспортными средствами прочая,Торговля оптовая легковыми автомобилями и легкими автотранспортными средствами за вознаграждение или на договорной основе,Торговля оптовая прочими автотранспортными средствами,Торговля розничная прочими автотранспортными средствами в специализированных магазинах,Торговля розничная прочими автотранспортными средствами прочая,Торговля оптовая прочими автотранспортными средствами за вознаграждение или на договорной основе,Техническое обслуживание и ремонт легковых автомобилей и легких грузовых автотранспортных средств,Техническое обслуживание и ремонт прочих автотранспортных средств,Торговля оптовая автомобильными деталями, узлами и принадлежностями, кроме деятельности агентов,Деятельность агентов по оптовой торговле автомобильными деталями, узлами и принадлежностями,Торговля розничная автомобильными деталями, узлами и принадлежностями,Торговля мотоциклами, их деталями, узлами и принадлежностями; техническое обслуживание и ремонт мотоциклов,Торговля оптовая мотоциклами, их деталями, узлами и принадлежностями,Торговля розничная мотоциклами, их деталями, составными частями и принадлежностями в специализированных магазинах,Торговля розничная мотоциклами, их деталями, узлами и принадлежностями прочая,Деятельность агентов по оптовой торговле мотоциклами, их деталями, узлами и принадлежностями,Техническое обслуживание и ремонт мотоциклов и мототранспортных средств,Торговля розничная в нестационарных торговых объектах и на рынках,Торговля розничная вне магазинов, палаток, рынков,Покупка и продажа собственного недвижимого имущества,Операции с недвижимым имуществом за вознаграждение или на договорной основе|г Новосибирск, пр-кт Дзержинского, д 7, кв 143|1|Соболева Светлана Николаевна,Касьян Оксана Николаевна,Маркелова Елена Анатольевна|ФИО: Маркелова Елена Анатольевна, Должность: ДИРЕКТОР|786000.0|610000.0|913-918-97-99|5401285850@crypta-nsk.ru, sobsvet@mail.ru
5401285874|"ООО ""ВАЛЕКС"""||||68.2|Аренда и управление собственным или арендованным недвижимым имуществом|г Новосибирск, ул Светлая, д 88|2|Каширин Владимир Петрович,Знатков Евгений Владимирович|ФИО: Знатков Евгений Владимирович, Должность: ДИРЕКТОР|1395000.0|820000.0|""|""
5401286290|"ООО ""СИБСТРОЙТРАНС"""||||41.2|Строительство жилых и нежилых зданий,Строительство жилых и нежилых зданий,Производство электромонтажных, санитарно-технических и прочих строительно-монтажных работ,Работы строительные отделочные,Подготовка строительной площадки,Производство штукатурных работ,Производство стекольных работ,Работы строительные специализированные прочие, не включенные в другие группировки,Деятельность в области архитектуры, связанная с созданием архитектурного объекта,Деятельность в области фотографии,Деятельность по письменному и устному переводу,Деятельность по упаковыванию товаров|г Новосибирск, ул Бориса Богаткова, д 253/1, офис 406|1|Полюхин Константин Александрович|ФИО: Полюхин Константин Александрович, Должность: Директор|207000.0|202000.0|""|ALBINAVVV@MAIL.RU
5401286405|"ООО ""СБС"""||||43.12|Подготовка строительной площадки,Строительство жилых и нежилых зданий,Производство электромонтажных, санитарно-технических и прочих строительно-монтажных работ,Работы строительные отделочные,Производство прочих отделочных и завершающих работ,Производство кровельных работ,Работы строительные специализированные прочие, не включенные в другие группировки|г Новосибирск, ул Королева, д 40 к 40, офис 1206|8|Шаклейн Андрей Владимирович|ФИО: Шаклейн Андрей Владимирович, Должность: Директор|5374000.0|5207000.0|905-953-14-18|cbc54@bk.ru
5401286532|"ООО ""СДК"""||||46.43|Торговля оптовая бытовыми электротоварами,Ремонт машин и оборудования,Производство электромонтажных, санитарно-технических и прочих строительно-монтажных работ,Торговля розничная аудио- и видеотехникой в специализированных магазинах,Торговля розничная бытовыми электротоварами в специализированных магазинах,Ремонт коммуникационного оборудования,Ремонт бытовой техники|Новосибирская обл, г Бердск, ул Спортивная, д 13, кв 61|1|Асхадулина Тамара Калистратовна|ФИО: Асхадулин Денис Тимурович, Должность: ДИРЕКТОР|2834000.0|2822000.0|913-066-97-66|5401286532_540101001@eo.tensor.ru
5401286701|"ООО ""КОМЕТА"""||||68.31.1|Предоставление посреднических услуг при купле-продаже недвижимого имущества за вознаграждение или на договорной основе,Торговля оптовая неспециализированная,Торговля розничная прочая в неспециализированных магазинах,Предоставление посреднических услуг по аренде недвижимого имущества за вознаграждение или на договорной основе,Предоставление консультационных услуг при купле-продаже недвижимого имущества за вознаграждение или на договорной основе,Предоставление консультационных услуг по аренде недвижимого имущества за вознаграждение или на договорной основе|630015, Новосибирская область, Г.О. ГОРОД НОВОСИБИРСК, Г НОВОСИБИРСК, УЛ КОРОЛЕВА, Д. 40, К. 40, ЭТАЖ 3, ОФИС 9/1|1|Попов Константин Борисович|ФИО: Попов Константин Борисович, Должность: Генеральный директор|0.0|0.0|(383) 362-07-56|POPOV-40@YANDEX.RU
5401287046|"ООО ТД ""САНЧО ПАНСА"""||||68.2|Аренда и управление собственным или арендованным недвижимым имуществом,Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения,Производство сухарей, печенья и прочих сухарных хлебобулочных изделий, производство мучных кондитерских изделий, тортов, пирожных, пирогов и бисквитов, предназначенных для длительного хранения,Торговля розничная кондитерскими изделиями в специализированных магазинах,Аренда и управление собственным или арендованным недвижимым имуществом,Деятельность по упаковыванию товаров|г Новосибирск, ул Гоголя, д 42, помещ 201|0|Десятков Вячеслав Герасимович,Тихонова Ольга Ивановна|ФИО: Десятков Вячеслав Герасимович, Должность: Директор|0.0|0.0|""|buh9891345318@mail.ru
5401287078|"ООО ПК ""РЕСУРС"""||||32.99.9|Производство прочих изделий, не включенных в другие группировки,Производство спортивных товаров,Производство игр и игрушек,Торговля оптовая неспециализированная,Прокат и аренда товаров для отдыха и спортивных товаров,Деятельность зрелищно-развлекательная прочая,Деятельность зрелищно-развлекательная прочая, не включенная в другие группировки|г Новосибирск, Комбинатский пер, д 3 к 8, помещ 3|3|Резвухина Вера Петровна|ФИО: Резвухина Вера Петровна, Должность: ДИРЕКТОР|19185000.0|18855000.0|,913-911-06-00|resurs05@list.ru
5401287215|"ООО ""КВАРЦС"""||||63.99.1|Деятельность по оказанию консультационных и информационных услуг,Торговля оптовая парфюмерными и косметическими товарами, кроме мыла,Торговля оптовая туалетным и хозяйственным мылом,Торговля оптовая фармацевтической продукцией,Торговля оптовая изделиями, применяемыми в медицинских целях,Торговля оптовая прочими бытовыми товарами,Торговля розничная лекарственными средствами в специализированных магазинах (аптеках),Торговля розничная изделиями, применяемыми в медицинских целях, ортопедическими изделиями в специализированных магазинах,Торговля розничная косметическими и товарами личной гигиены в специализированных магазинах,Торговля розничная косметическими и парфюмерными товарами, кроме мыла в специализированных магазинах,Торговля розничная туалетным и хозяйственным мылом в специализированных магазинах,Торговля розничная по почте или по информационно-коммуникационной сети Интернет,Деятельность консультативная и работы в области компьютерных технологий,Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая,Деятельность по созданию и использованию баз данных и информационных ресурсов,Деятельность по предоставлению прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению,Покупка и продажа собственного недвижимого имущества,Аренда и управление собственным или арендованным недвижимым имуществом,Операции с недвижимым имуществом за вознаграждение или на договорной основе,Аренда и управление собственным или арендованным жилым недвижимым имуществом,Аренда и управление собственным или арендованным нежилым недвижимым имуществом,Деятельность агентств недвижимости за вознаграждение или на договорной основе,Консультирование по вопросам коммерческой деятельности и управления,Деятельность по предоставлению прочих вспомогательных услуг для бизнеса, не включенная в другие группировки,Предоставление услуг парикмахерскими и салонами красоты,Деятельность физкультурно- оздоровительная|г Новосибирск, ул Гурьевская, д 78, офис 24|2|""|ФИО: Чесноков Михаил Николаевич, Должность: ДИРЕКТОР|293000.0|365000.0|(383) 214-83-27|Svetlana26091971@yandex.ru
