INN|NameOrg|Surname|Name|Patronymic|Okved|Okveds|Address|Employee Count|Founders|Managers|Income|Expense|Phones|Emails
6511005465|"ООО ""УК ""ЧИСТЫЙ ГОРОД"""||||68.32|Управление недвижимым имуществом за вознаграждение или на договорной основе,Распиловка и строгание древесины,Производство пиломатериалов, кроме профилированных, толщиной более 6 мм; производство непропитанных железнодорожных и трамвайных шпал из древесины,Предоставление услуг по пропитке древесины,Производство прессованной древесины,Производство прочих деревянных строительных конструкций и столярных изделий,Производство деревянных строительных конструкций и столярных изделий,Производство сборных деревянных строений,Забор, очистка и распределение воды,Распределение воды для питьевых и промышленных нужд,Сбор и обработка сточных вод,Сбор отходов,Обработка и утилизация отходов,Строительство жилых и нежилых зданий,Строительство инженерных коммуникаций для водоснабжения и водоотведения, газоснабжения,Строительство междугородних линий электропередачи и связи,Строительство местных линий электропередачи и связи,Разборка и снос зданий,Расчистка территории строительной площадки,Производство земляных работ,Производство электромонтажных работ,Производство санитарно-технических работ, монтаж отопительных систем и систем кондиционирования воздуха,Производство прочих строительно-монтажных работ,Производство штукатурных работ,Работы столярные и плотничные,Работы по устройству покрытий полов и облицовке стен,Производство малярных и стекольных работ,Производство малярных работ,Производство стекольных работ,Производство прочих отделочных и завершающих работ,Производство кровельных работ,Работы гидроизоляционные,Работы свайные и работы по строительству фундаментов,Работы бетонные и железобетонные,Работы по монтажу стальных строительных конструкций,Работы каменные и кирпичные,Работы по сборке и монтажу сборных конструкций,Работы строительные специализированные, не включенные в другие группировки,Управление эксплуатацией жилого фонда за вознаграждение или на договорной основе,Управление эксплуатацией нежилого фонда за вознаграждение или на договорной основе,Деятельность по чистке и уборке жилых зданий и нежилых помещений прочая,Деятельность по чистке и уборке прочая, не включенная в другие группировки|Сахалинская обл, г Курильск, ул Андрея Евдокимова, д 51|1|Шумихин Олег Владимирович|ФИО: Шумихин Олег Владимирович, Должность: ДИРЕКТОР|0.0|0.0|+7(962)1242434|""
6511005497|||||56.30|Подача напитков,Рыболовство,Рыболовство морское,Рыболовство пресноводное,Производство пива,Производство безалкогольных напитков; производство упакованных питьевых вод, включая минеральные воды.,Строительство жилых и нежилых зданий,Торговля автотранспортными средствами,Торговля автомобильными деталями, узлами и принадлежностями,Торговля оптовая автомобильными деталями, узлами и принадлежностями, кроме деятельности агентов,Торговля розничная автомобильными деталями, узлами и принадлежностями,Деятельность агентов по оптовой торговле пищевыми продуктами, напитками и табачными изделиями,Деятельность агентов по оптовой торговле пивом,Торговля оптовая напитками,Торговля оптовая алкогольными напитками, включая пиво и пищевой этиловый спирт,Торговля оптовая пивом,Торговля розничная вне магазинов, палаток, рынков,Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах,Торговля розничная прочая в неспециализированных магазинах,Торговля розничная хлебом и хлебобулочными изделиями и кондитерскими изделиями в специализированных магазинах,Торговля розничная напитками в специализированных магазинах,Торговля розничная алкогольными напитками, включая пиво, в специализированных магазинах,Торговля розничная безалкогольными напитками в специализированных магазинах,Торговля розничная пивом в специализированных магазинах,Торговля розничная табачными изделиями в специализированных магазинах,Торговля розничная прочими пищевыми продуктами в специализированных магазинах,Торговля розничная чаем, кофе, какао в специализированных магазинах,Торговля розничная спортивным оборудованием и спортивными товарами в специализированных магазинах,Торговля розничная аксессуарами одежды (перчатками, галстуками, шарфами, ремнями, подтяжками и т. п.) в специализированных магазинах,Деятельность легкового такси и арендованных легковых автомобилей с водителем,Деятельность внутреннего водного пассажирского транспорта,Деятельность внутреннего водного грузового транспорта,Деятельность вспомогательная, связанная с водным транспортом,Деятельность гостиниц и прочих мест для временного проживания,Деятельность по предоставлению мест для краткосрочного проживания,Деятельность по предоставлению мест для временного проживания в кемпингах, жилых автофургонах и туристических автоприцепах,Деятельность по предоставлению прочих мест для временного проживания,Деятельность ресторанов и услуги по доставке продуктов питания,Деятельность ресторанов и кафе с полным ресторанным обслуживанием, кафетериев, ресторанов быстрого питания и самообслуживания,Деятельность ресторанов и баров по обеспечению питанием в железнодорожных вагонах-ресторанах и на судах,Деятельность предприятий общественного питания по прочим видам организации питания,Аренда и управление собственным или арендованным жилым недвижимым имуществом,Аренда и управление собственным или арендованным нежилым недвижимым имуществом,Деятельность рекламных агентств,Аренда и лизинг торгового оборудования,Деятельность туристических агентств,Деятельность по предоставлению экскурсионных туристических услуг,Деятельность спортивных объектов,Деятельность в области спорта прочая,Деятельность зрелищно-развлекательная прочая,Деятельность танцплощадок, дискотек, школ танцев,Деятельность зрелищно-развлекательная прочая, не включенная в другие группировки,Деятельность физкультурно- оздоровительная,Предоставление прочих персональных услуг, не включенных в другие группировки|Сахалинская обл, г Курильск, ул Ленинского Комсомола, д 7, кв 5|2|Балкаров Артур Борисович|ФИО: Балкаров Артур Борисович, Должность: ГЕНЕРАЛЬНЫЙ ДИРЕКТОР|3720000.0|1970000.0|+7(924)4851013,89147540452|""
6511005539|"ООО ""ФАВОРИТ"""||||41.20|Строительство жилых и нежилых зданий,Строительство прочих инженерных сооружений, не включенных в другие группировки,Разборка и снос зданий,Производство земляных работ,Производство штукатурных работ,Работы столярные и плотничные,Работы по устройству покрытий полов и облицовке стен,Производство малярных и стекольных работ,Производство прочих отделочных и завершающих работ,Производство кровельных работ,Работы строительные специализированные прочие, не включенные в другие группировки,Работы по сборке и монтажу сборных конструкций,Торговля розничная прочими товарами в специализированных магазинах,Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах,Торговля розничная прочая в неспециализированных магазинах,Торговля розничная фруктами и овощами в специализированных магазинах,Торговля розничная мясом и мясными продуктами в специализированных магазинах,Торговля розничная рыбой, ракообразными и моллюсками в специализированных магазинах,Торговля розничная хлебом и хлебобулочными изделиями и кондитерскими изделиями в специализированных магазинах,Торговля розничная напитками в специализированных магазинах,Торговля розничная табачными изделиями в специализированных магазинах,Торговля розничная прочими пищевыми продуктами в специализированных магазинах,Торговля розничная аудио- и видеотехникой в специализированных магазинах,Торговля розничная текстильными изделиями в специализированных магазинах,Торговля розничная скобяными изделиями, лакокрасочными материалами и стеклом в специализированных магазинах,Торговля розничная бытовыми электротоварами в специализированных магазинах,Торговля розничная мебелью, осветительными приборами и прочими бытовыми изделиями в специализированных магазинах,Торговля розничная книгами в специализированных магазинах,Торговля розничная одеждой в специализированных магазинах,Торговля розничная обувью и изделиями из кожи в специализированных магазинах,Торговля розничная косметическими и товарами личной гигиены в специализированных магазинах|Сахалинская обл, Курильский р-н, село Рейдово, ул Юбилейная, д 17|5|Опинка Иван Серафимович|ФИО: Опинка Иван Серафимович, Должность: ГЕНЕРАЛЬНЫЙ ДИРЕКТОР|16778000.0|14804000.0|8-924-485-02-10|""
6511005546|"ООО ""ДИОНИС"""||||41.20|Строительство жилых и нежилых зданий,Разборка и снос зданий,Производство земляных работ,Производство электромонтажных работ,Производство санитарно-технических работ, монтаж отопительных систем и систем кондиционирования воздуха,Производство прочих строительно-монтажных работ,Производство штукатурных работ,Работы столярные и плотничные,Работы по устройству покрытий полов и облицовке стен,Производство малярных и стекольных работ,Производство прочих отделочных и завершающих работ,Производство кровельных работ,Работы строительные специализированные прочие, не включенные в другие группировки,Работы гидроизоляционные,Торговля автотранспортными средствами,Торговля автомобильными деталями, узлами и принадлежностями,Техническое обслуживание и ремонт автотранспортных средств,Торговля оптовая изделиями из керамики и стекла и чистящими средствами,Торговля оптовая прочими бытовыми товарами,Торговля оптовая лесоматериалами, строительными материалами и санитарно-техническим оборудованием,Торговля оптовая скобяными изделиями, водопроводным и отопительным оборудованием и принадлежностями,Торговля оптовая неспециализированная,Торговля розничная моторным топливом в специализированных магазинах,Торговля розничная аудио- и видеотехникой в специализированных магазинах,Торговля розничная скобяными изделиями, лакокрасочными материалами и стеклом в специализированных магазинах,Торговля розничная бытовыми электротоварами в специализированных магазинах,Торговля розничная мебелью, осветительными приборами и прочими бытовыми изделиями в специализированных магазинах,Деятельность по складированию и хранению,Транспортная обработка грузов,Деятельность вспомогательная прочая, связанная с перевозками,Аренда и лизинг строительных машин и оборудования,Аренда и лизинг прочего автомобильного транспорта и оборудования|Сахалинская обл, г Курильск, ул Кооперативная, д 2А, офис 4|4|Кострикин Владимир Александрович|ФИО: Кострикин Владимир Александрович, Должность: ДИРЕКТОР|21479000.0|18858000.0|+7(914)2003333|vipkosdv@gmail.con
6511005553|"ООО ""АЛЬЯНС"""||||56.10|Деятельность ресторанов и услуги по доставке продуктов питания,Выращивание овощей,Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,Разведение молочного крупного рогатого скота, производство сырого молока,Разведение прочих пород крупного рогатого скота и буйволов, производство спермы,Разведение свиней,Разведение сельскохозяйственной птицы,Разведение прочих животных,Сбор и заготовка недревесных лесных ресурсов,Рыболовство морское,Рыболовство пресноводное,Производство мяса в охлажденном виде,Производство пищевых субпродуктов в охлажденном виде,Производство мяса и пищевых субпродуктов в замороженном виде,Производство мяса птицы в охлажденном виде,Производство мяса птицы в замороженном виде,Производство жиров домашней птицы,Производство субпродуктов домашней птицы, пригодных для употребления в пищу,Производство соленого, вареного, запеченого, копченого, вяленого и прочего мяса,Производство колбасных изделий,Производство мясных (мясосодержащих) консервов,Производство мясных (мясосодержащих) полуфабрикатов,Производство кулинарных мясных (мясосодержащих) изделий,Производство прочей пищевой продукции из мяса или мясных пищевых субпродуктов,Производство муки и гранул из мяса и мясных субпродуктов, непригодных для употребления в пищу,Переработка и консервирование рыбы, ракообразных и моллюсков,Переработка и консервирование картофеля,Производство соковой продукции из фруктов и овощей,Прочие виды переработки и консервирования фруктов и овощей,Производство молока (кроме сырого) и молочной продукции,Производство прочей молочной продукции,Производство мороженого,Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения,Производство сухарей, печенья и прочих сухарных хлебобулочных изделий, производство мучных кондитерских изделий, тортов, пирожных, пирогов и бисквитов, предназначенных для длительного хранения,Производство макаронных изделий,Производство какао, шоколада и сахаристых кондитерских изделий,Производство чая и кофе,Производство готовых пищевых продуктов и блюд,Производство пива,Производство безалкогольных напитков; производство упакованных питьевых вод, включая минеральные воды.,Торговля розничная в нестационарных торговых объектах и на рынках,Торговля розничная вне магазинов, палаток, рынков,Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах,Торговля розничная замороженными продуктами в неспециализированных магазинах,Торговля розничная незамороженными продуктами, включая напитки и табачные изделия, в неспециализированных магазинах,Торговля розничная прочая в неспециализированных магазинах,Торговля розничная фруктами и овощами в специализированных магазинах,Торговля розничная консервированными фруктами, овощами и орехами в специализированных магазинах,Торговля розничная мясом и мясными продуктами в специализированных магазинах,Торговля розничная мясом и мясом птицы, включая субпродукты в специализированных магазинах,Торговля розничная рыбой, ракообразными и моллюсками в специализированных магазинах,Торговля розничная хлебом и хлебобулочными изделиями и кондитерскими изделиями в специализированных магазинах,Торговля розничная напитками в специализированных магазинах,Торговля розничная табачными изделиями в специализированных магазинах,Торговля розничная аудио- и видеотехникой в специализированных магазинах,Торговля розничная текстильными изделиями в специализированных магазинах,Торговля розничная бытовыми электротоварами в специализированных магазинах,Торговля розничная мебелью, осветительными приборами и прочими бытовыми изделиями в специализированных магазинах,Торговля розничная книгами в специализированных магазинах,Торговля розничная одеждой в специализированных магазинах,Торговля розничная обувью и изделиями из кожи в специализированных магазинах,Торговля розничная косметическими и товарами личной гигиены в специализированных магазинах,Деятельность автомобильного грузового транспорта и услуги по перевозкам,Деятельность легкового такси и арендованных легковых автомобилей с водителем,Деятельность гостиниц и прочих мест для временного проживания,Деятельность ресторанов и кафе с полным ресторанным обслуживанием, кафетериев, ресторанов быстрого питания и самообслуживания,Деятельность ресторанов и баров по обеспечению питанием в железнодорожных вагонах-ресторанах и на судах,Деятельность предприятий общественного питания по прочим видам организации питания,Подача напитков,Деятельность туристических агентств|Сахалинская обл, г Курильск, ул Сахалинская, д 8 к д|14|Васюхник Руслана Ивановна|ФИО: Васюхник Руслана Ивановна, Должность: ДИРЕКТОР|47024000.0|42259000.0|+7(914)6406840,89621188227,  9621188227,  89621188227|r_v72@mail.ru
6511005585|"ООО ""ФРИ-ТРЕЙДЕР"""||||95.11|Ремонт компьютеров и периферийного компьютерного оборудования,Строительство жилых и нежилых зданий,Строительство прочих инженерных сооружений, не включенных в другие группировки,Разборка и снос зданий,Производство земляных работ,Производство электромонтажных работ,Производство санитарно-технических работ, монтаж отопительных систем и систем кондиционирования воздуха,Производство прочих строительно-монтажных работ,Производство штукатурных работ,Работы столярные и плотничные,Работы по устройству покрытий полов и облицовке стен,Производство малярных и стекольных работ,Производство прочих отделочных и завершающих работ,Производство кровельных работ,Работы строительные специализированные прочие, не включенные в другие группировки,Работы гидроизоляционные,Работы по сборке и монтажу сборных конструкций,Торговля оптовая производственным электротехническим оборудованием, машинами, аппаратурой и материалами,Торговля оптовая прочими машинами, приборами, аппаратурой и оборудованием общепромышленного и специального назначения,Торговля розничная прочими товарами в специализированных магазинах,Торговля розничная аудио- и видеотехникой в специализированных магазинах,Торговля розничная бытовыми электротоварами в специализированных магазинах,Торговля розничная мебелью, осветительными приборами и прочими бытовыми изделиями в специализированных магазинах,Торговля розничная прочая вне магазинов, палаток, рынков,Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая,Деятельность в области фотографии,Деятельность по предоставлению прочих вспомогательных услуг для бизнеса, не включенная в другие группировки,Ремонт коммуникационного оборудования,Ремонт электронной бытовой техники,Ремонт бытовой техники,Ремонт прочих предметов личного потребления и бытовых товаров|Сахалинская обл, г Курильск, ул Полевого, д 4, кв 2|1|Гольтяев Александр Владимирович|ФИО: Гольтяев Александр Владимирович, Должность: ГЕНЕРАЛЬНЫЙ ДИРЕКТОР|30000.0|26000.0|+7(924) 1943982,89147570686|""
6511005602|"ООО ""ДАЛЬВОСТОК"""||||03.11|Рыболовство морское,Выращивание овощей,Разведение сельскохозяйственной птицы,Рыболовство пресноводное,Воспроизводство морских биоресурсов искусственное,Воспроизводство пресноводных биоресурсов искусственное,Добыча и обогащение железных руд,Добыча руд прочих цветных металлов,Производство мяса в охлажденном виде,Производство пищевых субпродуктов в охлажденном виде,Производство мяса и пищевых субпродуктов в замороженном виде,Производство мяса птицы в охлажденном виде,Производство мяса птицы в замороженном виде,Производство жиров домашней птицы,Производство субпродуктов домашней птицы, пригодных для употребления в пищу,Обработка отходов и лома драгоценных металлов,Обработка отходов и лома черных металлов,Обработка отходов и лома цветных металлов,Строительство автомобильных дорог и автомагистралей,Строительство железных дорог и метро,Строительство мостов и тоннелей,Строительство инженерных коммуникаций для водоснабжения и водоотведения, газоснабжения,Строительство водных сооружений,Разборка и снос зданий,Расчистка территории строительной площадки,Производство земляных работ,Подготовка участка к разработке и добыче полезных ископаемых, за исключением нефтяных и газовых участков,Работы по установке строительных лесов и подмостей,Работы свайные и работы по строительству фундаментов,Торговля автотранспортными средствами,Торговля автомобильными деталями, узлами и принадлежностями,Техническое обслуживание и ремонт прочих автотранспортных средств,Торговля мотоциклами, их деталями, узлами и принадлежностями; техническое обслуживание и ремонт мотоциклов,Торговля оптовая фруктами и овощами,Торговля оптовая свежим картофелем,Торговля оптовая мясом и мясом птицы, включая субпродукты,Торговля оптовая яйцами,Торговля оптовая рыбой, ракообразными и моллюсками, консервами и пресервами из рыбы и морепродуктов,Торговля оптовая прочими пищевыми продуктами,Торговля оптовая моторным топливом, включая авиационный бензин,Торговля оптовая отходами и ломом,Торговля розничная вне магазинов, палаток, рынков,Торговля розничная мясом и мясом птицы, включая субпродукты в специализированных магазинах,Торговля розничная рыбой и морепродуктами в специализированных магазинах,Торговля розничная консервами из рыбы и морепродуктов в специализированных магазинах,Торговля розничная яйцами в специализированных магазинах,Аренда морских судов заграничного и каботажного плавания для перевозки грузов с экипажем,Деятельность по оказанию маневровых услуг судами заграничного и каботажного плавания,Деятельность по складированию и хранению,Хранение и складирование замороженных или охлажденных грузов,Хранение и складирование нефти и продуктов ее переработки,Деятельность вспомогательная, связанная с водным транспортом,Транспортная обработка контейнеров,Подготовка к продаже собственного недвижимого имущества,Покупка и продажа собственных нежилых зданий и помещений,Покупка и продажа земельных участков,Аренда и лизинг водных транспортных средств и оборудования|Сахалинская обл, г Курильск, ул Сахалинская, д 13, кв 1|1|Пак Дмитрий Енгинович,Сидорчук Виталий Сергеевич|ФИО: Сидорчук Виталий Сергеевич, Должность: ГЕНЕРАЛЬНЫЙ ДИРЕКТОР|0.0|0.0|+7(924)1938465|""
6511005610|"ООО ""КТК"""||||52.10.21|Хранение и складирование нефти и продуктов ее переработки,Деятельность агентов по оптовой торговле твердым, жидким и газообразным топливом и связанными продуктами,Торговля оптовая твердым, жидким и газообразным топливом и подобными продуктами,Торговля оптовая моторным топливом, включая авиационный бензин,Торговля розничная моторным топливом в специализированных магазинах,Хранение и складирование жидких или газообразных грузов,Хранение и складирование прочих жидких или газообразных грузов|Сахалинская обл, г Курильск, село Китовое, ул Зеленая, стр 5|12|Рязанцева Екатерина Сергеевна,Годухина Алеся Анатольевна,Кадлубовская Людмила Александровна|ФИО: Абабков Сергей Александрович, Должность: ГЕНЕРАЛЬНЫЙ ДИРЕКТОР|49898000.0|48247000.0|,89146464040|mayy_61@mail.ru
6511005627|"ООО ""ОЛЬГА"""||||79.11|Деятельность туристических агентств,Рыболовство,Рыбоводство,Переработка и консервирование рыбы, ракообразных и моллюсков,Строительство жилых и нежилых зданий,Разборка и снос зданий,Производство земляных работ,Производство электромонтажных работ,Работы строительные специализированные прочие, не включенные в другие группировки,Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах,Торговля розничная прочая в неспециализированных магазинах,Торговля розничная фруктами и овощами в специализированных магазинах,Торговля розничная мясом и мясными продуктами в специализированных магазинах,Торговля розничная рыбой, ракообразными и моллюсками в специализированных магазинах,Торговля розничная хлебом и хлебобулочными изделиями и кондитерскими изделиями в специализированных магазинах,Торговля розничная напитками в специализированных магазинах,Торговля розничная табачными изделиями в специализированных магазинах,Торговля розничная прочими пищевыми продуктами в специализированных магазинах,Деятельность прочего сухопутного пассажирского транспорта,Деятельность легкового такси и арендованных легковых автомобилей с водителем,Деятельность морского пассажирского транспорта,Деятельность морского грузового транспорта,Деятельность внутреннего водного пассажирского транспорта,Деятельность внутреннего водного грузового транспорта,Деятельность по предоставлению мест для краткосрочного проживания,Деятельность по предоставлению мест для временного проживания в кемпингах, жилых автофургонах и туристических автоприцепах,Деятельность по предоставлению прочих мест для временного проживания,Деятельность ресторанов и услуги по доставке продуктов питания,Деятельность ресторанов и кафе с полным ресторанным обслуживанием, кафетериев, ресторанов быстрого питания и самообслуживания,Деятельность ресторанов и баров по обеспечению питанием в железнодорожных вагонах-ресторанах и на судах,Деятельность предприятий общественного питания по прочим видам организации питания,Подача напитков,Деятельность зрелищно-развлекательная прочая, не включенная в другие группировки|Сахалинская обл, Курильский р-н, село Горное, ул ДОС, д 3, кв 13|0|Тимашев Сергей Федорович|ФИО: Тимашев Сергей Федорович, Должность: ДИРЕКТОР|31000.0|9000.0|+7(924)4888128,89084409379|""
6511005666|"ООО ""ГИДРОСТРОЙ ТУР"""||||79.12|Деятельность туроператоров,Торговля розничная сувенирами, изделиями народных художественных промыслов,Перевозки пассажиров сухопутным транспортом по заказам,Перевозка пассажиров автобусами по туристическим или экскурсионным маршрутам,Перевозки пассажиров сухопутным транспортом прочие, не включенные в другие группировки,Деятельность морского пассажирского транспорта,Деятельность гостиниц и прочих мест для временного проживания,Деятельность по предоставлению мест для краткосрочного проживания,Деятельность по предоставлению мест для временного проживания в кемпингах, жилых автофургонах и туристических автоприцепах,Деятельность по предоставлению прочих мест для временного проживания,Деятельность ресторанов и услуги по доставке продуктов питания,Деятельность ресторанов и кафе с полным ресторанным обслуживанием, кафетериев, ресторанов быстрого питания и самообслуживания,Деятельность предприятий общественного питания по обслуживанию торжественных мероприятий,Деятельность предприятий общественного питания по прочим видам организации питания,Деятельность рекламных агентств,Прокат и аренда товаров для отдыха и спортивных товаров,Деятельность туристических агентств,Услуги по бронированию прочие и сопутствующая деятельность,Деятельность по предоставлению туристических информационных услуг,Деятельность по предоставлению экскурсионных туристических услуг,Деятельность по предоставлению туристических услуг, связанных с бронированием,Деятельность туристических агентств по предоставлению экскурсионных туристических услуг,Деятельность самостоятельных экскурсоводов и гидов по предоставлению экскурсионных туристических услуг,Деятельность по бронированию билетов на культурно-развлекательные мероприятия,Деятельность по оказанию прочих услуг, связанных со службой предварительных заказов,Деятельность санаторно-курортных организаций,Деятельность в области медицины прочая, не включенная в другие группировки,Деятельность в области спорта прочая,Деятельность зрелищно-развлекательная прочая,Деятельность зрелищно-развлекательная прочая, не включенная в другие группировки|Сахалинская обл, г Курильск, ул Заречная, д 11 к а|2|,Светликов Юрий Николаевич|ФИО: Шатова Татьяна Владимировна, Должность: ДИРЕКТОР|32533000.0|31403000.0|,8(42454) 42 347|glavbooh@gidrjstroj.ru
