INN|NameOrg|Surname|Name|Patronymic|Okved|Okveds|Address|Employee Count|Founders|Managers|Income|Expense|Phones|Emails
2521013355|"ООО ""СТАНДАРТ"""||||46.33|Торговля оптовая молочными продуктами, яйцами и пищевыми маслами и жирами,Торговля оптовая за вознаграждение или на договорной основе,Торговля оптовая пищевыми продуктами, напитками и табачными изделиями,Торговля оптовая непродовольственными потребительскими товарами,Торговля оптовая прочими машинами, оборудованием и принадлежностями,Торговля оптовая специализированная прочая,Торговля оптовая неспециализированная,Торговля оптовая мясом и мясными продуктами,Торговля розничная в неспециализированных магазинах,Торговля розничная прочими бытовыми изделиями в специализированных магазинах,Торговля розничная вне магазинов, палаток, рынков,Торговля розничная лекарственными средствами в специализированных магазинах (аптеках),Торговля розничная изделиями, применяемыми в медицинских целях, ортопедическими изделиями в специализированных магазинах,Торговля розничная косметическими и товарами личной гигиены в специализированных магазинах|г Владивосток, ул Снеговая, д 13А, офис 18|15|Лунёв Василий Александрович,Лунёва Тамара Сергеевна|ФИО: Лунёв Василий Александрович, Должность: Директор|149508000.0|147299000.0|8 423 2 46 32 04|azbyka@mail.ru
2521013394|"ООО ""СОКОЛ"""||||47.25.1|Торговля розничная алкогольными напитками, включая пиво, в специализированных магазинах,Торговля розничная безалкогольными напитками в специализированных магазинах,Торговля розничная табачными изделиями в специализированных магазинах,Торговля розничная прочими пищевыми продуктами в специализированных магазинах,Торговля розничная прочими пищевыми продуктами в специализированных магазинах, не включенными в другие группировки,Торговля розничная непродовольственными товарами, не включенными в другие группировки, в специализированных магазинах|Приморский край, Надеждинский р-н, поселок Девятый Вал, ул Зеленая, д 11, кв 19|1|Соколан Татьяна Сергеевна|ФИО: Соколан Татьяна Сергеевна, Должность: директор|0.0|0.0|89510183521,89510183521, 89510196135|shinkarenko76@mail.ru
2521013443|"ООО ""ТЕХНОМАРКЕТ"""||||47.43|Торговля розничная аудио- и видеотехникой в специализированных магазинах,Торговля оптовая непродовольственными потребительскими товарами,Торговля розничная прочими товарами в специализированных магазинах,Торговля розничная бытовыми электротоварами в специализированных магазинах,Торговля розничная, осуществляемая непосредственно при помощи информационно-коммуникационной сети Интернет,Торговля розничная через Интернет-аукционы,Торговля розничная, осуществляемая непосредственно при помощи телевидения, радио, телефона|Приморский край, Надеждинский р-н, поселок Тавричанка, ул Лесная, д 11, кв 44|1|Дедюк Валерий Евгеньевич|ФИО: Дедюк Валерий Евгеньевич, Должность: ЛИКВИДАТОР|0.0|0.0|""|""
2521013588|"ООО ""КОМПАНИЯ БОНИЕМ"""||||49.4|Деятельность автомобильного грузового транспорта и услуги по перевозкам,Выращивание однолетних культур,Выращивание многолетних культур,Выращивание овощей,Работы строительные специализированные прочие, не включенные в другие группировки,Техническое обслуживание и ремонт легковых автомобилей и легких грузовых автотранспортных средств,Мойка автотранспортных средств, полирование и предоставление аналогичных услуг,Деятельность вспомогательная, связанная с сухопутным транспортом,Деятельность стоянок для транспортных средств,Деятельность по предоставлению прочих мест для временного проживания,Деятельность ресторанов и услуги по доставке продуктов питания,Деятельность ресторанов и кафе с полным ресторанным обслуживанием, кафетериев, ресторанов быстрого питания и самообслуживания,Деятельность ресторанов и баров по обеспечению питанием в железнодорожных вагонах-ресторанах и на судах,,Деятельность в области отдыха и развлечений|Приморский край, Надеждинский р-н, поселок Таежный, ул Мира, д 8, кв 27|1|Бондаренко Денис Васильевич|ФИО: Бондаренко Татьяна Валерьевна, Должность: ДИРЕКТОР|0.0|0.0|89046282204, 89146852991|73286@list.ru
2521013612|"ООО ""ЧЕМПИОН"""||||41.2|Строительство жилых и нежилых зданий,Производство электромонтажных, санитарно-технических и прочих строительно-монтажных работ,Работы строительные отделочные,Производство земляных работ,Торговля оптовая сельскохозяйственным сырьем и живыми животными,Торговля оптовая непродовольственными потребительскими товарами,Торговля оптовая специализированная прочая,Торговля оптовая фруктами и овощами,Торговля оптовая свежим картофелем,Деятельность автомобильного грузового транспорта и услуги по перевозкам,Деятельность по предоставлению мест для краткосрочного проживания,Деятельность информационных агентств,Деятельность в области права и бухгалтерского учета,Деятельность рекламная,Образование дополнительное детей и взрослых,Деятельность по дополнительному профессиональному образованию прочая, не включенная в другие группировки,Деятельность по уходу с обеспечением проживания,Предоставление социальных услуг без обеспечения проживания|Приморский край, Надеждинский р-н, село Прохладное, ул Центральная, д 23, кв 2|3|Малащенков Дмитрий Владимирович|ФИО: Малащенков Дмитрий Владимирович, Должность: ДИРЕКТОР|9240000.0|9179000.0|,(423) 2748541|radchenko_o@list.ru
2521013637|"ООО ""СК ""АЛАРА"""||||41.20|Строительство жилых и нежилых зданий,Разработка строительных проектов,Строительство автомобильных дорог и автомагистралей,Строительство инженерных коммуникаций для водоснабжения и водоотведения, газоснабжения,Строительство коммунальных объектов для обеспечения электроэнергией и телекоммуникациями,Строительство прочих инженерных сооружений, не включенных в другие группировки,Разборка и снос зданий,Подготовка строительной площадки,Производство электромонтажных работ,Производство санитарно-технических работ, монтаж отопительных систем и систем кондиционирования воздуха,Производство прочих строительно-монтажных работ,Производство штукатурных работ,Работы столярные и плотничные,Работы по устройству покрытий полов и облицовке стен,Производство малярных и стекольных работ,Производство кровельных работ,Работы строительные специализированные прочие, не включенные в другие группировки,Деятельность агентов по оптовой торговле лесоматериалами и строительными материалами,Деятельность агентов по оптовой торговле универсальным ассортиментом товаров,Торговля оптовая лесоматериалами, строительными материалами и санитарно-техническим оборудованием,Торговля оптовая неспециализированная,Торговля розничная текстильными изделиями в специализированных магазинах,Деятельность автомобильного грузового транспорта,Предоставление услуг по перевозкам,Деятельность по складированию и хранению,Транспортная обработка грузов,Деятельность вспомогательная прочая, связанная с перевозками,Деятельность в области архитектуры,Деятельность в области инженерных изысканий, инженерно-технического проектирования, управления проектами строительства, выполнения строительного контроля и авторского надзора, предоставление технических консультаций в этих областях,Деятельность по комплексному обслуживанию помещений,Деятельность по чистке и уборке прочая,Деятельность по благоустройству ландшафта,Деятельность по предоставлению прочих вспомогательных услуг для бизнеса, не включенная в другие группировки|Приморский край, Надеждинский р-н, село Кипарисово, ул Сельская, д 5, кв 1|1|Будник Виталий Викторович,Терновых Андрей Александрович|ФИО: Будник Мария Валерьевна, Должность: ГЕНЕРАЛЬНЫЙ ДИРЕКТОР|1469000.0|840000.0|""|avista12.87@mail.ru
2521013683|"ООО ""ЛЮКСМАРТ"""||||47.11|Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах,Ремонт машин и оборудования,Ремонт электрического оборудования,Монтаж промышленных машин и оборудования,Строительство автомобильных дорог и автомагистралей,Строительство водных сооружений,Строительство прочих инженерных сооружений, не включенных в другие группировки,Производство санитарно-технических работ, монтаж отопительных систем и систем кондиционирования воздуха,Производство штукатурных работ,Работы по устройству покрытий полов и облицовке стен,Производство малярных и стекольных работ,Производство прочих отделочных и завершающих работ,Производство кровельных работ,Торговля оптовая техникой, оборудованием и инструментами, применяемыми в медицинских целях,Торговля оптовая лесоматериалами, строительными материалами и санитарно-техническим оборудованием,Торговля оптовая скобяными изделиями, водопроводным и отопительным оборудованием и принадлежностями,Торговля оптовая неспециализированная,Торговля розничная пищевыми продуктами, напитками и табачными изделиями в специализированных магазинах,Торговля розничная напитками в специализированных магазинах,Транспортная обработка грузов,Деятельность вспомогательная прочая, связанная с перевозками,Деятельность ресторанов и услуги по доставке продуктов питания,Деятельность ресторанов и кафе с полным ресторанным обслуживанием, кафетериев, ресторанов быстрого питания и самообслуживания,Деятельность ресторанов и баров по обеспечению питанием в железнодорожных вагонах-ресторанах и на судах,Подача напитков,Консультирование по вопросам коммерческой деятельности и управления,Аренда и лизинг строительных машин и оборудования|Приморский край, Надеждинский р-н, поселок Девятый Вал, ул Зеленая, д 3, кв 24|7|Селиванов Сергей Александрович|ФИО: Селиванов Сергей Александрович, Должность: ГЕНЕРАЛЬНЫЙ ДИРЕКТОР|14231000.0|10652000.0|89089949095, 89084454988|avista12.87@mail.ru
2521013700|"ООО ""АЛЬЯНС-СТРОЙ ДВ"""||||41.20|Строительство жилых и нежилых зданий,Добыча декоративного и строительного камня, известняка, гипса, мела и сланцев,Разработка гравийных и песчаных карьеров, добыча глины и каолина,Торговля оптовая пищевыми продуктами, напитками и табачными изделиями,Торговля оптовая непродовольственными потребительскими товарами,Торговля оптовая прочими машинами, оборудованием и принадлежностями,Торговля оптовая специализированная прочая,Торговля оптовая неспециализированная,Торговля розничная скобяными изделиями, лакокрасочными материалами и стеклом в специализированных магазинах,Деятельность автомобильного грузового транспорта и услуги по перевозкам|Приморский край, село Вольно-Надеждинское, ул Анисимова, д 87, кв 24|13|Смирнов Александр Сергеевич,Шульженко Марина Сергеевна|ФИО: Смирнов Александр Сергеевич, Должность: ГЕНЕРАЛЬНЫЙ ДИРЕКТОР|150949000.0|148379000.0|89089949095|avista12.87@mail.ru
2521013718|"ООО ""ГРАНД МОНТАЖ"""||||43.39|Производство прочих отделочных и завершающих работ,Строительство жилых и нежилых зданий,Производство электромонтажных работ,Производство санитарно-технических работ, монтаж отопительных систем и систем кондиционирования воздуха,Производство прочих строительно-монтажных работ,Производство штукатурных работ,Работы столярные и плотничные,Работы по устройству покрытий полов и облицовке стен,Производство малярных и стекольных работ,Производство кровельных работ,Работы строительные специализированные прочие, не включенные в другие группировки,Работы гидроизоляционные,Консультирование по вопросам коммерческой деятельности и управления,Исследование конъюнктуры рынка и изучение общественного мнения,Деятельность по предоставлению прочих вспомогательных услуг для бизнеса, не включенная в другие группировки|Приморский край, Надеждинский р-н, поселок Тавричанка, ул 60 лет ВЛКСМ, д 1, кв 18|0|Алейник Василий Николаевич|ФИО: Алейник Василий Николаевич, Должность: ГЕНЕРАЛЬНЫЙ ДИРЕКТОР|12626000.0|10390000.0|""|fin_akr@mail.ru
2521013796|"ООО ""ЭЛЕКТРОСЕТЬ ВОСТОЧНАЯ"""||||35.12|Передача электроэнергии и технологическое присоединение к распределительным электросетям,Производство электродвигателей, электрогенераторов и трансформаторов,Распределение электроэнергии,Строительство жилых и нежилых зданий,Производство электромонтажных работ,Производство прочих строительно-монтажных работ,Производство кровельных работ,Работы строительные специализированные прочие, не включенные в другие группировки,Работы гидроизоляционные,Торговля автотранспортными средствами,Торговля автомобильными деталями, узлами и принадлежностями,Техническое обслуживание и ремонт автотранспортных средств,Деятельность прочего сухопутного пассажирского транспорта,Деятельность автомобильного грузового транспорта и услуги по перевозкам,Деятельность железнодорожного транспорта: междугородные и международные пассажирские перевозки,Деятельность железнодорожного транспорта: грузовые перевозки,Деятельность сухопутного пассажирского транспорта: перевозки пассажиров в городском и пригородном сообщении,Деятельность легкового такси и арендованных легковых автомобилей с водителем,Деятельность морского пассажирского транспорта,Деятельность морского грузового транспорта,Деятельность внутреннего водного пассажирского транспорта,Деятельность внутреннего водного грузового транспорта,Деятельность грузового воздушного транспорта,Деятельность по складированию и хранению,Деятельность вспомогательная, связанная с сухопутным транспортом,Деятельность вспомогательная, связанная с водным транспортом,Деятельность вспомогательная, связанная с воздушным и космическим транспортом,Транспортная обработка грузов,Деятельность вспомогательная прочая, связанная с перевозками,Деятельность в области архитектуры, инженерных изысканий и предоставление технических консультаций в этих областях,Деятельность в области гидрометеорологии и смежных с ней областях, мониторинга состояния окружающей среды, ее загрязнения,Деятельность в области технического регулирования, стандартизации, метрологии, аккредитации, каталогизации продукции,Деятельность по предоставлению прочих вспомогательных услуг для бизнеса, не включенная в другие группировки|Приморский край, г Артем, ул Орловская, д 67 к 1, офис 103|13|Безбородов Сергей Васильевич,Точилин Александр Петрович|ФИО: Безбородов Сергей Васильевич, Должность: ДИРЕКТОР|61569000.0|28305000.0|79147058652,  842337 92951, 36011|extra-88@mail.ru, stroitehenergo@yandex.ru
